DeviceName,Brand,technology,gprs,edge,announced,status,dimensions,weight,sim,size,card_slot,battery,stand_by_hours,talk_time_hours,cpu,internal_memory_mb,os,primary_camera_mp
Apple iPhone 6s Plus,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2015, September","Available. Released 2015, September",158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in),192 g (6.77 oz),Nano-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 2750 mAh battery (10.45 Wh),384,24,Dual-core 1.84 GHz Twister,16384,"iOS 9, upgradable to iOS 9.2",12
Apple iPad mini 4,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2015, September","Available. Released 2015, September",203.2 x 134.8 x 6.1 mm (8.0 x 5.31 x 0.24 in),299 g (Wi-Fi) / 304 g (3G/LTE) (10.55 oz),Nano-SIM/ Apple SIM (US & UK),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 5124 mAh battery (19.1 Wh),,10,Dual-core 1.5 GHz Typhoon,16384,"iOS 9, upgradable to iOS 9.2",8
Apple iPad Pro,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2015, September","Available. Released 2015, November",305.7 x 220.6 x 6.9 mm (12.04 x 8.69 x 0.27 in),713 g (Wi-Fi) / 723 g (LTE) (1.57 lb),Nano-SIM/ Apple SIM (US & UK),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,"Non-removable Li-Ion 10,307 mAh battery (38.8 Wh)",,10,Dual-core 2.26 GHz (Twister),32768,"iOS 9, upgradable to iOS 9.2",8
Apple Watch Sport 38mm,Apple,No cellular connectivity,No,No,"2014, September","Available. Released 2015, April",38.6 x 33.3 x 10.5 mm (1.52 x 1.31 x 0.41 in),62 g (25 g body) (2.19 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 205 mAh battery (0.78 Wh),18,3,520 MHz,8192,"watchOS 1.0, upgradable to v2.1",
Apple Watch Sport 42mm,Apple,No cellular connectivity,No,No,"2014, September","Available. Released 2015, April",42 x 35.9 x 10.5 mm (1.65 x 1.41 x 0.41 in),70 g (30 g body) (2.47 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 250 mAh battery (0.94 Wh),22,3,520 MHz,8192,"watchOS 1.0, upgradable to v2.1",
Apple Watch 38mm,Apple,No cellular connectivity,No,No,"2014, September","Available. Released 2015, May",38.6 x 33.3 x 10.5 mm (1.52 x 1.31 x 0.41 in),40 g body (2.72 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 205 mAh battery (0.78 Wh),18,3,520 MHz,8192,"watchOS 1.0, upgradable to v2.1",
Apple Watch 42mm,Apple,No cellular connectivity,No,No,"2014, September","Available. Released 2015, April",42 x 35.9 x 10.5 mm (1.65 x 1.41 x 0.41 in),50 g body (2.82 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 250 mAh battery (0.94 Wh),22,3,520 MHz,8192,"watchOS 1.0, upgradable to v2.1",
Apple Watch Edition 38mm,Apple,No cellular connectivity,No,No,"2014, September","Available. Released 2015, July",38.6 x 33.3 x 10.5 mm (1.52 x 1.31 x 0.41 in),55 g body (3.35 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 205 mAh battery (0.78 Wh),18,3,520 MHz,8192,"watchOS 1.0, upgradable to v2.1",
Apple Watch Edition 42mm,Apple,No cellular connectivity,No,No,"2014, September","Available. Released 2015, July",42 x 35.9 x 10.5 mm (1.65 x 1.41 x 0.41 in),69 g body (3.53 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 250 mAh battery (0.94 Wh),22,3,520 MHz,8192,"watchOS 1.0, upgradable to v2.1",
Apple iPhone SE,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2016, March","Available. Released 2016, March",123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in),113 g (3.99 oz),Nano-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 1624 mAh battery (6.21 Wh),240,14,Dual-core 1.84 GHz Twister,16384,"iOS 9.3.2, upgradable to iOS 10.1",12
Apple iPad Pro 9.7,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2016, March","Available. Released 2016, March",240 x 169.5 x 6.1 mm (9.45 x 6.67 x 0.24 in),437 g (Wi-Fi) / 444 g (LTE) (15.66 oz),Nano-SIM/ Electronic SIM card (e-SIM),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Ion battery (27.9 Wh),,10,Dual-core 2.16 GHz (Twister),32768,"iOS 9.3.2, upgradable to iOS 10.1",12
Apple Watch Series 1 Sport 42mm,Apple,No cellular connectivity,No,No,"2016, September","Available. Released 2016, December",42.5 x 36.4 x 10.5 mm (1.67 x 1.43 x 0.41 in),30 g body (1.06 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 250 mAh battery (0.94 Wh),22,3,Dual-core,8192,"watchOS 3.0, upgradable to v3.1.3",
Apple Watch Series 1 Sport 38mm,Apple,No cellular connectivity,No,No,"2016, September","Available. Released 2016, December",38.6 x 33.3 x 10.5 mm (1.52 x 1.31 x 0.41 in),25 g body (0.88 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 205 mAh battery (0.78 Wh),18,3,Dual-core,8192,"watchOS 3.0, upgradable to v3.1.3",
Apple Watch Edition Series 2 38mm,Apple,No cellular connectivity,No,No,"2016, September","Available. Released 2016, December",39.2 x 34 x 11.8 mm (1.54 x 1.34 x 0.46 in),39.6 g body (1.41 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 273 mAh battery (1.03 Wh),18,,Dual-core,,"watchOS 3.0, upgradable to v3.1.3",
Apple Watch Edition Series 2 42mm,Apple,No cellular connectivity,No,No,"2016, September","Available. Released 2016, December",42.6 x 36.5 x 11.4 mm (1.68 x 1.44 x 0.45 in),45.6 g body (1.62 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion battery,,,Dual-core,,"watchOS 3.0, upgradable to v3.1.3",
Apple Watch Series 2 38mm,Apple,No cellular connectivity,No,No,"2016, September","Available. Released 2016, December",38.6 x 33.3 x 11.4 mm (1.52 x 1.31 x 0.45 in),41.9 g body (1.48 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 273 mAh battery (1.03 Wh),18,,Dual-core,,"watchOS 3.0, upgradable to v3.1.3",
Apple Watch Series 2 42mm,Apple,No cellular connectivity,No,No,"2016, September","Available. Released 2016, December",42.5 x 36.4 x 11.4 mm (1.67 x 1.43 x 0.45 in),52.4 g body (1.83 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion battery,,,Dual-core,,"watchOS 3.0, upgradable to v3.1.3",
Apple Watch Series 2 Sport 42mm,Apple,No cellular connectivity,No,No,"2016, September","Available. Released 2016, December",42.5 x 36.4 x 11.4 mm (1.67 x 1.43 x 0.45 in),34.2 g body (1.20 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion battery,,,Dual-core,,"watchOS 3.0, upgradable to v3.1.3",
Apple Watch Series 2 Sport 38mm,Apple,No cellular connectivity,No,No,"2016, September","Available. Released 2016, December",38.6 x 33.3 x 11.4 mm (1.52 x 1.31 x 0.45 in),28.2 g body (0.99 oz),No,"AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 273 mAh battery (1.03 Wh),18,,Dual-core,,"watchOS 3.0, upgradable to v3.1.3",
Apple iPhone 8 Plus,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,Not announced yet,Rumored,6.1 mm thickness,-,Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 2900 mAh battery (11.1 Wh),,,Quad-core,32768,iOS 11,12
Apple iPhone 7 Plus,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2016, September","Available. Released 2016, September",158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in),188 g (6.63 oz),Nano-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 2900 mAh battery (11.1 Wh),384,21,Quad-core 2.23 GHz,32768,"iOS 10.0.1, upgradable to iOS 10.1",12
Apple iPhone 7,Apple,GSM / CDMA / HSPA / EVDO / LTE,Yes,Yes,"2016, September","Available. Released 2016, September",138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in),138 g (4.87 oz),Nano-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Ion 1960 mAh battery (7.45 Wh),,14,Quad-core 2.34 GHz,32768,"iOS 10.0.1, upgradable to iOS 10.1",12
OnePlus One,OnePlus,GSM / HSPA / LTE,Yes,Yes,"2014, April","Available. Released 2014, June",152.9 x 75.9 x 8.9 mm (6.02 x 2.99 x 0.35 in),162 g (5.71 oz),Micro-SIM,5.5 inches (~71.9% screen-to-body ratio),No,Non-removable Li-Po 3100 mAh battery,,,Quad-core 2.5 GHz Krait 400,16384,"Android OS, v4.4.2 (KitKat), upgradable to v5.1.1 (Lollipop)",13
